start_time,end_time,timestep_(s),steps,bodies,execution_time_(s),comments
Sat Nov 26 23:21:41 2022,Sat Nov 26 23:21:42 2022,864000.0,200,10,0.26734423637390137,a
Sat Nov 26 23:21:41 2022,Sat Nov 26 23:21:42 2022,864000.0,200,10,0.2730374336242676,a
Sat Nov 26 23:21:41 2022,Sat Nov 26 23:21:42 2022,864000.0,200,10,0.28441667556762695,a
Sat Nov 26 23:21:42 2022,Sat Nov 26 23:21:49 2022,864000.0,200,50,6.857766151428223,a
Sat Nov 26 23:21:42 2022,Sat Nov 26 23:21:49 2022,864000.0,200,50,7.078760623931885,a
Sat Nov 26 23:21:42 2022,Sat Nov 26 23:21:50 2022,864000.0,200,50,7.774168968200684,a
Sat Nov 26 23:21:49 2022,Sat Nov 26 23:22:17 2022,864000.0,200,100,27.803159475326538,a
Sat Nov 26 23:21:49 2022,Sat Nov 26 23:22:18 2022,864000.0,200,100,28.382722854614258,a
Sat Nov 26 23:21:50 2022,Sat Nov 26 23:22:19 2022,864000.0,200,100,28.579947471618652,a
Sat Nov 26 23:22:17 2022,Sat Nov 26 23:34:07 2022,864000.0,200,500,710.2361731529236,a
Sat Nov 26 23:22:19 2022,Sat Nov 26 23:34:17 2022,864000.0,200,500,717.5757536888123,a
Sat Nov 26 23:22:18 2022,Sat Nov 26 23:34:50 2022,864000.0,200,500,751.5673878192902,a
Sat Nov 26 23:34:08 2022,Sun Nov 27 00:22:03 2022,864000.0,200,1000,2874.548270702362,a
Sat Nov 26 23:34:17 2022,Sun Nov 27 00:22:30 2022,864000.0,200,1000,2892.5179941654205,a
Sat Nov 26 23:34:50 2022,Sun Nov 27 00:29:02 2022,864000.0,200,1000,3251.4964652061462,a